Name,ISO,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Afghanistan,AFG,182979,470.041,549,1.41,106,7725,19.844,3,0.008,0
Albania,ALB,284758,9894.989,4460,154.979,947,3508,121.899,9,0.313,2
Algeria,DZA,266181,607.012,108,0.246,17,6875,15.678,0,0,0
American Samoa,ASM,6505,11785.061,0,0,0,31,56.162,0,0,0
Andorra,AND,44671,57815.311,897,1160.94,494,153,198.02,0,0,0
Angola,AGO,101320,308.28,0,0,0,1900,5.781,0,0,0
Anguilla,AIA,3476,23170.244,20,133.316,0,9,59.992,0,0,0
Antigua and Barbuda,ATG,8668,8851.311,43,43.909,3,141,143.982,0,0,0
Argentina,ARG,9394326,20785.85,27154,60.081,0,129109,285.666,39,0.086,0
Armenia,ARM,423417,14289.017,174,5.872,0,8626,291.101,0,0,0
Aruba,ABW,41000,38401.738,282,264.129,0,222,207.931,1,0.937,0
Australia,AUS,8327916,32658.643,233966,917.518,43595,10131,39.73,294,1.153,45
Austria,AUT,4529939,50892.107,73770,828.777,13017,20093,225.737,32,0.36,4
Azerbaijan,AZE,793506,7826.14,282,2.781,69,9718,95.846,1,0.01,0
Bahamas,BHS,36082,9175.474,138,35.093,0,818,208.013,1,0.254,0
Bahrain,BHR,634927,37314.077,10658,626.361,1579,1498,88.036,6,0.353,0
Bangladesh,BGD,1984700,1205.117,10915,6.628,0,29185,17.721,36,0.022,0
Barbados,BRB,85331,29693.258,1356,471.857,412,477,165.985,4,1.392,0
Belarus,BLR,994037,10519.666,11170,118.21,0,7118,75.328,140,1.482,0
Belgium,BEL,4265296,37017.298,17275,149.925,0,31952,277.302,33,0.286,0
Belize,BLZ,64581,16241.562,1009,253.755,210,680,171.014,1,0.251,0
Benin,BEN,27216,224.495,0,0,0,163,1.345,0,0,0
Bermuda,BMU,16162,25953.463,205,329.196,0,140,224.817,2,3.212,0
Bhutan,BTN,59824,7753.16,53,6.869,0,21,2.722,0,0,0
Bolivia (Plurinational State of),BOL,934235,8003.369,10712,91.767,2280,21959,188.118,6,0.051,1
"Bonaire, Saint Eustatius and Saba",BES,10432,106337.001,27,1039.029,0,37,406.19,0,0,0
Bosnia and Herzegovina,BIH,379244,11559.445,614,18.715,112,15808,481.831,3,0.091,0
Botswana,BWA,323327,13749.077,0,0,0,2752,117.025,0,0,0
Brazil,BRA,32610514,15341.835,403560,189.858,74591,672429,316.349,1581,0.744,396
British Virgin Islands,VGB,6941,22955.32,0,0,0,63,208.354,0,0,0
Brunei Darussalam,BRN,171027,39093.762,7127,1629.107,1179,168,38.402,2,0.457,0
Bulgaria,BGR,1175725,16913.3,3958,56.937,643,37263,536.044,12,0.173,2
Burkina Faso,BFA,21044,100.673,0,0,0,387,1.851,0,0,0
Burundi,BDI,42836,360.245,105,0.883,0,15,0.126,0,0,0
Cabo Verde,CPV,61105,10990.365,563,101.261,0,406,73.023,1,0.18,0
Cambodia,KHM,136308,815.29,36,0.215,7,3056,18.279,0,0,0
Cameroon,CMR,120068,452.304,0,0,0,1931,7.274,0,0,0
Canada,CAN,3932523,10419.445,16489,43.689,0,41756,110.635,109,0.289,0
Cayman Islands,CYM,27594,41987.219,423,643.64,0,29,44.127,1,1.522,0
Central African Republic,CAF,14675,303.845,0,0,0,113,2.34,0,0,0
Chad,TCD,7426,45.209,1,0.006,0,193,1.175,0,0,0
Chile,CHL,4044611,21158.027,64814,339.053,9232,58649,306.803,182,0.952,18
China,CHN,4971965,337.933,242545,16.485,35891,21857,1.486,699,0.048,96
Colombia,COL,6175181,12136.066,23827,46.827,0,140070,275.279,100,0.197,0
Comoros,COM,8161,938.476,0,0,0,160,18.399,0,0,0
Congo,COG,24421,442.563,0,0,0,386,6.995,0,0,0
Cook Islands,COK,5790,32965.156,16,91.095,0,1,5.693,0,0,0
Costa Rica,CRI,904934,17764.292,0,0,0,8525,167.35,0,0,0
Côte d’Ivoire,CIV,83823,317.773,514,1.949,94,805,3.052,0,0,0
Croatia,HRV,1154129,28439.677,6749,166.307,1794,16093,396.559,33,0.813,4
Cuba,CUB,1106240,9766.73,251,2.216,37,8529,75.301,0,0,0
Curaçao,CUW,44662,27217.493,117,71.301,0,278,169.416,0,0,0
Cyprus,CYP,515596,58062.286,10879,1225.106,0,1075,121.058,3,0.338,0
Czechia,CZE,3937630,36821.138,4865,45.493,219,40325,377.083,8,0.075,0
Democratic People's Republic of Korea,PRK,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,COD,91393,102.045,0,0,0,1375,1.535,0,0,0
Denmark,DNK,3183166,54667.621,13566,232.982,2774,6499,111.614,36,0.618,5
Djibouti,DJI,15690,1588.057,0,0,0,189,19.13,0,0,0
Dominica,DMA,14852,20630.357,0,0,0,68,94.456,0,0,0
Dominican Republic,DOM,613628,5656.647,7844,72.309,1080,4383,40.404,0,0,0
Ecuador,ECU,913939,5180.163,7199,40.804,141,35745,202.601,25,0.142,0
Egypt,EGY,514133,502.405,45,0.044,0,24724,24.16,1,0.001,0
El Salvador,SLV,169646,2615.489,0,0,0,4152,64.013,11,0.17,0
Equatorial Guinea,GNQ,16191,1154.039,157,11.19,0,183,13.044,0,0,0
Eritrea,ERI,9811,276.645,15,0.423,1,103,2.904,0,0,0
Estonia,EST,581560,43760.008,823,61.927,0,2599,195.564,8,0.602,0
Eswatini,SWZ,73177,6307.47,79,6.809,22,1416,122.052,0,0,0
Ethiopia,ETH,489846,426.088,1413,1.229,190,7548,6.566,12,0.01,4
Falkland Islands (Malvinas),FLK,1823,52339.937,8,229.687,0,0,0,0,0,0
Faroe Islands,FRO,34658,70926.021,0,0,0,28,57.301,0,0,0
Fiji,FJI,65889,7350.033,334,37.258,0,866,96.604,1,0.112,0
Finland,FIN,1158485,20966.946,8903,161.132,1143,4941,89.425,2,0.036,0
France,FRA,30878926,47477.291,853117,1311.693,154615,146474,225.208,351,0.54,53
French Guiana,GUF,88362,29583.972,1451,485.801,0,401,134.257,0,0,0
French Polynesia,PYF,73451,26147.707,183,65.146,0,649,231.036,0,0,0
Gabon,GAB,47939,2153.851,0,0,0,305,13.703,0,0,0
Gambia,GMB,12009,496.924,0,0,0,365,15.103,0,0,0
Georgia,GEO,1662299,41670.245,1870,46.877,0,16844,422.243,3,0.075,0
Germany,DEU,28808614,34639.598,574556,690.849,93083,141627,170.293,81,0.097,8
Ghana,GHA,166546,535.984,0,0,0,1452,4.673,0,0,0
Gibraltar,GIB,19633,58273.723,327,970.586,0,104,308.688,0,0,0
